type,name,height,width,depth,material,number,used,unused
window,fenster1,110,63,6,wood,1,0,1
window,fenster2,82,53,6,wood,4,0,4
window,fenster3,80,54,7.5,wood,1,0,1
window,fenster3,109,63,6,wood,1,0,1
window,fenster4,65,54,6,wood,1,0,1
window,fenster5,120,55,5,wood,13,0,13
window,fenster6,120,58,8,wood,4,0,4
window,fenster7,60,55,4.5,wood,4,0,4
window,fenster8,60,55,6,wood,2,0,2
window,fenster9,60,55,4.5,wood,4,0,4
window,fenster10,54,64,6,wood,15,0,15
window,fenster11,67,66,6,wood,3,0,3
window,fenster12,132,69,6,wood,5,0,5
window,fenster13,62.5,52,3.2,wood,1,0,1
window,fenster14,70.5,50,3,wood,1,0,1
window,fenster15,101,66,3,wood,1,0,1
window,fenster16,100,79.5,3,wood,1,0,1
window,fenster17,100,94.5,3,wood,1,0,1
window,fenster18,80.5,90,2.8,wood,1,0,1
window,fenster19,82,105.5,2.8,wood,1,0,1
window,fenster20,129,21,3.2,wood,1,0,1
window,fenster21,70.5,50,3,wood,1,0,1
window,fenster22,80.5,56,3.2,wood,1,0,1
window,fenster23,94.5,43.8,3,wood,2,0,2
window,fenster24,90.3,110,3,wood,1,0,1
window,fenster25,90.3,110,3,wood,1,0,1
window,fenster26,121,69,6,wood,2,0,2
panel,fensterladen1,123,62,3,wood,1,0,1
panel,ture1,197,92,3,wood,1,0,1
panel,ture2,202,69,3,wood,1,0,1
panel,ture3,203,87,3,wood,1,0,1
door1,ture4,203,71,6,wood,2,0,2
door2,ture5,203,72,6,wood,2,0,2
panel,ture6,182,61,2.5,wood,2,0,2
pillar,stuetze1,300,6,14,wood,1,0,1
pillar,stuetze2,305,6,14,wood,1,0,1
pillar,stuetze3,310,6,18,wood,1,0,1
pillar,stuetze4,315,6,22,wood,1,0,1
pillar,stuetze5,320,6,26,wood,1,0,1
pillar,stuetze6,325,6,30,wood,1,0,1
pillar,stuetze7,330,6,40,wood,1,0,1
pillar,stuetze8,335,6,30,wood,1,0,1
pillar,stuetze9,340,6,30,wood,1,0,1
pillar,stuetze10,345,6,30,wood,1,0,1
pillar,stuetze11,350,6,30,wood,1,0,1
pillar,stuetze12,355,6,40,wood,1,0,1
pillar,stuetze13,360,6,40,wood,1,0,1
pillar,stuetze14,365,6,40,wood,1,0,1
pillar,stuetze15,370,6,20,wood,1,0,1
pillar,stuetze16,375,6,14,wood,1,0,1
pillar,stuetze17,380,6,18,wood,1,0,1
pillar,stuetze18,385,6,20,wood,1,0,1
pillar,stuetze19,390,6,20,wood,1,0,1
pillar,stuetze20,395,6,14,wood,1,0,1
pillar,stuetze21,400,6,14,wood,1,0,1
pillar,stuetze22,405,6,16,wood,1,0,1
pillar,stuetze23,410,6,18,wood,1,0,1
pillar,stuetze24,415,6,18,wood,1,0,1
pillar,stuetze25,420,6,14,wood,1,0,1
pillar,stuetzereserve1,425,6,18,wood,1,0,1
pillar,stuetzereserve2,430,6,16,wood,1,0,1
pillar,stuetzereserve3,435,6,14,wood,1,0,1
pillar,stuetzereserve4,440,6,14,wood,1,0,1
pillar,stuetzereserve5,445,6,14,wood,1,0,1
pillar,stuetzereserve6,450,6,14,wood,1,0,1

